[2017-10-21 21:25:25]	 Pacman collected 5 points!
[2017-10-21 21:25:26]	 Pacman collected 1 points!
[2017-10-21 21:25:27]	 Pacman collected 1 points!
[2017-10-21 21:25:27]	 Pacman collected 1 points!
[2017-10-21 21:25:27]	 Pacman collected 1 points!
[2017-10-21 21:25:27]	 Pacman collected 5 points!
[2017-10-21 21:25:28]	 Pacman collected 1 points!
[2017-10-21 21:25:29]	 Pacman collected 1 points!
[2017-10-21 21:25:30]	 Pacman collected 1 points!
[2017-10-21 21:25:30]	 Pacman collected 1 points!
[2017-10-21 21:25:30]	 Pacman collected 1 points!
[2017-10-22 10:51:02]	 Pacman collected 1 points!
[2017-10-22 10:51:07]	 Pacman collected 5 points!
[2017-10-22 10:51:07]	 Pacman collected 5 points!
[2017-10-22 10:51:08]	 Pacman collected 50 points!
[2017-10-22 10:51:08]	 Pacman collected 1 points!
[2017-10-22 10:51:10]	 Pacman collected 1 points!
[2017-10-22 10:51:11]	 Pacman collected 1 points!
[2017-10-22 10:51:11]	 Pacman collected 1 points!
[2017-10-22 10:51:11]	 Pacman collected 1 points!
[2017-10-22 10:51:12]	 Pacman collected 1 points!
[2017-10-22 10:51:12]	 Pacman collected 1 points!
[2017-10-22 10:51:13]	 Pacman collected 1 points!
[2017-10-22 10:51:13]	 Pacman collected 1 points!
[2017-10-22 10:51:13]	 Pacman collected 1 points!
[2017-10-22 10:51:14]	 Pacman collected 1 points!
[2017-10-22 10:51:14]	 Pacman collected 1 points!
[2017-10-22 10:51:15]	 Pacman collected 1 points!
[2017-10-22 10:51:16]	 Pacman collected 5 points!
[2017-10-22 10:51:16]	 Pacman collected 1 points!
[2017-10-22 10:51:17]	 Pacman collected 1 points!
[2017-10-22 10:51:18]	 Pacman collected 1 points!
[2017-10-22 10:51:18]	 Pacman collected 5 points!
[2017-10-22 10:51:18]	 Pacman collected 1 points!
[2017-10-22 10:51:18]	 Pacman collected 1 points!
[2017-10-22 10:51:18]	 Pacman collected 1 points!
[2017-10-22 10:53:59]	 Pacman collected 5 points!
[2017-10-22 10:54:01]	 Pacman collected 1 points!
[2017-10-22 10:54:02]	 Pacman collected 1 points!
[2017-10-22 10:54:03]	 Pacman collected 1 points!
[2017-10-22 10:54:03]	 Pacman collected 1 points!
[2017-10-22 10:54:04]	 Pacman collected 1 points!
[2017-10-22 10:54:04]	 Pacman collected 1 points!
[2017-10-22 10:54:08]	 Pacman collected 1 points!
[2017-10-22 10:54:08]	 Pacman collected 50 points!
